name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,instructions
Laddu,"Gram flour, ghee, sugar",vegetarian,10,40,sweet,dessert,unknown,unknown,"To make Laddu, begin by roasting gram flour (besan) in ghee over medium heat until it turns golden brown and releases a nutty aroma. Once roasted, remove it from heat and let it cool slightly. Add sugar to the roasted gram flour and mix well. Allow the mixture to cool to a temperature where it can be comfortably handled. With greased hands, shape the mixture into round balls, forming laddus. Ensure the laddus hold their shape and have a smooth texture. These sweet gram flour laddus are a popular and simple Indian dessert, enjoyed during festivals and celebrations."
Lassi,"Yogurt, milk, nuts, sugar",vegetarian,5,5,sweet,dessert,Punjab,North,"To prepare Lassi, blend together yogurt and milk in a blender until smooth. Add sugar to the mixture and blend again until the sugar is fully dissolved. Optionally, you can include nuts like almonds or pistachios for added flavor and texture. Pour the lassi into glasses and serve chilled. Lassi is a refreshing and popular traditional Indian beverage, enjoyed for its cool and creamy consistency, making it a perfect drink to accompany meals or to beat the heat on a warm day."
Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",vegetarian,20,30,sweet,dessert,unknown,unknown,"To make Nankhatai, start by preheating your oven. In a mixing bowl, combine refined flour, besan (gram flour), and ghee. Mix well until the ingredients are combined and resemble a crumbly texture. Add powdered sugar and yogurt to the mixture. Crush green cardamom and add it to the dough for flavor. Knead the ingredients together to form a smooth dough. Divide the dough into small portions and shape them into round cookies or discs. Place them on a baking tray and bake in the preheated oven until they turn golden brown. Allow the Nankhatais to cool before serving. These eggless shortbread-like cookies are a popular and delicious treat in Indian cuisine."
Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder",vegetarian,10,30,sweet,dessert,Uttar Pradesh,North,"To craft Petha, a renowned North Indian sweet, begin by peeling and deseeding firm white pumpkin, cutting it into shapes like cubes or rectangles. Soak the pumpkin pieces in a solution of water and alum powder, allowing them to firm up. Afterward, rinse thoroughly to remove excess alum. In a separate pot, prepare a sugar syrup by dissolving sugar in water and adding a piece of kitchen lime to maintain the pumpkin's white color. Boil the syrup until it reaches a one-string consistency, then introduce the soaked pumpkin, cooking until it becomes translucent and the syrup thickens. Let the Petha cool and set in the sugar syrup before cutting it into shapes. The result is a delightful sweet, celebrated for its translucent appearance and mild sweetness."
Phirni,"Rice, sugar, nuts",vegetarian,30,20,sweet,dessert,Odisha,East,"To prepare Phirni, start by soaking rice in water for a few hours. Drain the soaked rice and grind it into a smooth paste. In a saucepan, heat milk and bring it to a boil. Add the ground rice paste to the boiling milk, stirring continuously to avoid lumps. Cook the mixture on low heat until the rice is fully cooked, and the mixture thickens to a creamy consistency. Add sugar and continue to stir until it dissolves completely. Optionally, you can include a variety of nuts such as almonds, pistachios, or cashews for added texture and flavor. Pour the Phirni into individual serving bowls and let it cool. Once chilled, garnish with more nuts before serving. Phirni is a delightful rice pudding, enjoyed as a cool and creamy dessert in Indian cuisine."
Rabri,"Condensed milk, sugar, spices, nuts",vegetarian,10,45,sweet,dessert,Uttar Pradesh,North,"To prepare Rabri, start by heating condensed milk in a thick-bottomed pan. Add sugar to the condensed milk and stir continuously on low heat until the mixture thickens. As the Rabri simmers, the milk reduces and becomes rich and creamy. Enhance the flavor with spices like cardamom for an aromatic touch. Include a variety of nuts such as almonds, pistachios, or cashews for added texture and crunch. Once the Rabri reaches a desired consistency and the flavors meld together, let it cool. Serve chilled, and enjoy this decadent Indian dessert that boasts a luscious, thickened milk base complemented by the warmth of spices and the richness of nuts."
Sheera,"Semolina, ghee, nuts, milk",vegetarian,10,25,sweet,dessert,Maharashtra,West,"To prepare Sheera, start by roasting semolina (sooji) in ghee until it turns golden and releases a nutty aroma. In a separate pan, heat milk. Slowly add the hot milk to the roasted semolina, stirring continuously to avoid lumps. Cook the mixture on low heat until the semolina absorbs the milk and reaches a smooth, pudding-like consistency. Add sugar to sweeten the Sheera and continue to stir until the sugar dissolves completely. Optionally, you can include nuts such as cashews and almonds for added richness and texture. Once the Sheera thickens and achieves the desired consistency, remove it from heat. Serve warm, and savor the comforting and sweet flavor of this classic Indian dessert."
Singori,"Khoa, coconut, molu leaf",vegetarian,10,20,sweet,dessert,Uttarakhand,North,"Singori is a traditional sweet from the Kumaon region of Uttarakhand, India. It is made by wrapping a mixture of khoa (reduced solidified milk) and grated coconut in molu leaves, also known as Maalu or Bauhinia leaves. The khoa and coconut filling is sweetened and then enclosed in the leaves, forming a cylindrical shape. These filled leaves are then tied with a string and typically steamed or roasted. The molu leaves impart a unique aroma and flavor to the sweet, giving Singori its distinctive taste. It is not only a delicious treat but also reflects the local culinary heritage of the Kumaon region."
Sohan halwa,"Corn flour, ghee, dry fruits",vegetarian,10,60,sweet,dessert,Uttar Pradesh,North,"Sohan Halwa is a delectable Indian sweet made with corn flour, ghee, and dry fruits. To prepare this indulgent delicacy, corn flour is roasted in ghee until it turns golden brown, creating a rich and nutty base. The mixture is then sweetened with sugar, and an array of dry fruits such as almonds, pistachios, and cashews are added to enhance the texture and flavor. The concoction is stirred continuously to achieve a smooth consistency before being poured into a greased tray and left to set. Once cooled and solidified, Sohan Halwa is cut into pieces, offering a delightful combination of sweet, nutty, and buttery goodness in every bite."
Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",vegetarian,0,60,sweet,dessert,Maharashtra,West,"To make Sohan Papdi, begin by preparing a sugar syrup. Boil sugar and water until it reaches a one-string consistency. In a separate pan, heat ghee, and add gram flour (besan). Roast the gram flour in ghee until it becomes aromatic and golden brown. Slowly incorporate the sugar syrup into the roasted gram flour while stirring continuously to avoid lumps. Add warm milk to the mixture, stirring vigorously to achieve a smooth consistency. Finally, mix in cardamom powder for fragrance. Spread this mixture onto a greased surface, flatten it, and let it cool. Once set, cut the Sohan Papdi into square or diamond shapes. This traditional Indian sweet boasts a delightful combination of the rich flavors of gram flour, ghee, and cardamom, making it a popular treat during festivals and celebrations."
Chhena jalebi,"Chhena, sugar, ghee",vegetarian,10,50,sweet,dessert,Odisha,East,"Chhena Jalebi is a delightful Bengali sweet made with chhena (fresh paneer or cottage cheese), sugar, and ghee. To prepare this delicacy, fresh chhena is kneaded into a smooth dough and shaped into small, spiral-like jalebis. These chhena spirals are then deep-fried until they achieve a golden brown hue. In a separate pan, a sugar syrup is prepared by dissolving sugar in water. The freshly fried chhena jalebis are then immersed in the warm sugar syrup, allowing them to absorb the sweetness. A touch of ghee may be added for a rich flavor. The result is a unique and syrup-soaked variation of the traditional jalebi, showcasing the distinct texture and taste of chhena."
Chhena kheeri,"Chhena, sugar, milk",vegetarian,0,60,sweet,dessert,Odisha,East,"Chhena Kheeri is a delightful Bengali dessert made with chhena (fresh paneer or cottage cheese), sugar, and milk. To prepare this sweet dish, crumbled or grated chhena is gently cooked in a pan along with milk until it thickens and achieves a creamy consistency. Sugar is added to sweeten the mixture, and the kheeri is simmered until the chhena is well-incorporated, creating a smooth and luscious texture. The result is a rich and flavorful dessert that beautifully combines the subtle sweetness of chhena with the creamy goodness of milk, making Chhena Kheeri a popular and comforting treat in Bengali cuisine."
Chhena poda,"Sugar, chenna cheese",vegetarian,10,45,sweet,dessert,Odisha,East,"Chhena Poda is a traditional Odia dessert made primarily with two ingredients: sugar and chhena cheese. To prepare this delightful sweet, fresh chhena (paneer or cottage cheese) is mixed with sugar to sweeten the mixture. The sweetened chhena is then flavored and sometimes spiced with cardamom or nutmeg for added aroma. The mixture is spread in a thin layer in a greased pan and traditionally baked in an earthen oven, giving it a unique smoky flavor. The result is a caramelized, slightly crusty exterior with a soft and sweet interior. Chhena Poda is a popular and flavorful dessert enjoyed in Odisha, India."
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,40,60,sweet,dessert,West Bengal,East,"Cham Cham is a delectable Bengali sweet made from a combination of flour, cream, sugar, saffron, lemon juice, and coconut flakes. To prepare Cham Cham, a dough is made by kneading flour and cream together until a smooth consistency is achieved. The dough is then shaped into cylindrical or oval pieces and cooked in a sugar syrup until they become spongy and absorb the sweetness. Saffron is often added to the syrup for flavor and color, and lemon juice may be used to enhance the texture. Finally, the Cham Chams are rolled in coconut flakes, providing a delightful contrast to the soft and syrup-soaked interior. This sweet is a popular choice for celebrations and special occasions in Bengali cuisine."
Ledikeni,"Chhena, sugar, ghee",vegetarian,45,45,sweet,dessert,West Bengal,East,"Ledikeni is a classic Bengali sweet made with chhena (fresh paneer or cottage cheese), sugar, and ghee. To prepare Ledikeni, fresh chhena is kneaded into a smooth dough, shaped into elongated ovals, and deep-fried until they achieve a golden brown color. The fried chhena dumplings are then soaked in a sugar syrup, imparting sweetness and moisture to the dessert. Ghee may be used in the frying process for added richness. Ledikeni is known for its delectable taste and unique elongated shape, making it a cherished sweet in Bengali cuisine, especially during festive occasions and celebrations."
Lyangcha,"Flour, fried milk power, sugar syrup",vegetarian,20,30,sweet,dessert,Assam,North East,"Lyangcha is a traditional Bengali sweet made with a mixture of flour and fried milk powder, sweetened with sugar syrup. To prepare Lyangcha, a dough is made by combining flour and fried milk powder, creating a smooth and pliable consistency. The dough is then shaped into cylindrical or elongated forms. These shapes are deep-fried until they achieve a golden brown color and a crisp texture. After frying, Lyangchas are soaked in a sugar syrup, allowing them to absorb the sweetness and develop a syrupy exterior. The result is a delightful Bengali sweet that combines the richness of fried milk powder with the sweetness of sugar syrup, making it a popular treat during festive occasions."
Malapua,"Yoghurt, refined flour, ghee, fennel seeds",vegetarian,10,120,sweet,dessert,Bihar,North,"Malpua is a traditional Indian sweet pancake that is often enjoyed during festivals and special occasions. To make Malpua, a batter is prepared by combining yogurt and refined flour, creating a smooth consistency. The batter is then flavored with fennel seeds for a hint of aromatic warmth. Small portions of this batter are ladled into hot ghee and fried until they become golden brown and crispy. Once fried, Malpuas are often soaked in sugar syrup to enhance their sweetness and moisture. This delightful sweet is known for its unique combination of textures—crispy on the edges and soft in the center—making it a favorite indulgence in Indian cuisine."
Mihidana,"Besan flour, sugar, ghee",vegetarian,15,30,sweet,dessert,West Bengal,East,"Mihidana is a traditional Bengali sweet that is crafted with just three primary ingredients: besan flour (gram flour), sugar, and ghee. To prepare Mihidana, besan is mixed with water to form a smooth, thick batter. Small droplets of this batter are then carefully dropped into hot ghee, resulting in tiny, bead-like formations. These besan beads are fried until they achieve a golden hue and a crispy texture. After frying, they are coated in a sugar syrup, allowing them to absorb the sweetness and develop a glossy exterior. Mihidana is celebrated for its unique appearance and the delightful combination of the nutty besan flavor with the sweet syrup, making it a popular choice during festivals and special occasions in Bengali cuisine."
Misti doi,"Milk, jaggery",vegetarian,480,30,sweet,dessert,West Bengal,East,"Misti Doi, also known as ""sweet yogurt,"" is a popular Bengali dessert made with just two main ingredients: milk and jaggery. To prepare Misti Doi, milk is boiled and then allowed to cool to a lukewarm temperature. Jaggery, a natural sweetener, is added to the milk and mixed until it dissolves completely. The sweetened milk is then transferred to earthen pots and left to set, allowing the natural fermentation process to occur. This results in Misti Doi's distinct thick and creamy texture with a delicate caramel-like sweetness from the jaggery. Served chilled, Misti Doi is a cherished dessert in Bengali cuisine, appreciated for its unique flavor and smooth consistency."
Pantua,"Chhena, sugar, ghee, flour",vegetarian,45,45,sweet,dessert,West Bengal,East,"Pantua is a delectable Bengali sweet made from a combination of chhena (fresh paneer or cottage cheese), sugar, ghee, and flour. To prepare Pantua, fresh chhena is kneaded into a smooth dough and mixed with a small amount of flour. This dough is then shaped into round balls and deep-fried until they achieve a golden brown color. The fried chhena balls are soaked in a sugar syrup, allowing them to absorb the sweetness and become moist. Ghee may be used in the frying process, adding richness to the flavor. Pantua is similar to Gulab Jamun but has its unique taste and texture, making it a favorite sweet during festivals and celebrations in Bengal."
Pithe,"Rice flour, wheat flour",vegetarian,15,35,sweet,dessert,Assam,North East,"Pithe refers to a traditional Bengali sweet that comes in various forms, typically made during winter festivals like Makar Sankranti. The key ingredients for many types of Pithe include rice flour and wheat flour. To prepare, a dough is made by combining rice flour and wheat flour with water, creating a smooth and pliable consistency. This dough is then shaped into different forms, such as flatbreads or dumplings, and filled with sweetened ingredients like jaggery, coconut, khoya (reduced milk), or sesame seeds. The filled dough is often cooked by methods like frying, steaming, or baking, resulting in a variety of Pithe with diverse textures and flavors. These sweets hold cultural significance and are enjoyed as a part of festive traditions in Bengali households."
Rasabali,"Chenna, sweetened milk",vegetarian,15,30,sweet,dessert,Odisha,East,"Rasabali is a traditional Odia sweet that features chenna (fresh paneer or cottage cheese) and sweetened milk. To prepare Rasabali, chenna is shaped into flat discs and deep-fried until they turn golden brown. These fried chenna discs are then soaked in sweetened milk, which is often flavored with cardamom. The chenna absorbs the sweetness and aromatic essence of the milk, resulting in a delightful dessert with a unique texture. Rasabali is enjoyed for its rich and creamy taste, making it a popular sweet during festivals and special occasions in Odisha, India."
Ras malai,"Chhena, reduced milk, pistachio",vegetarian,180,60,sweet,dessert,West Bengal,East,"Ras Malai is a luscious Indian dessert made with chhena (fresh paneer or cottage cheese), reduced milk, and pistachios. To prepare Ras Malai, chhena is kneaded into a soft dough, shaped into flattened balls, and gently cooked in a simmering mixture of milk and sugar until they become spongy and absorb the sweetness. The cooked chhena balls are then immersed in thickened, reduced milk, often flavored with cardamom or saffron, enhancing the overall richness and aroma. The dessert is garnished with chopped pistachios, adding a delightful crunch and nutty flavor. Ras Malai is enjoyed chilled, making it a beloved treat during festive occasions and celebrations in Indian cuisine."
Rasgulla,"Chhena, sugar, cardamom",vegetarian,10,90,sweet,dessert,West Bengal,East,"Rasgulla is a popular Indian sweet made primarily with chhena (fresh paneer or cottage cheese), sugar, and cardamom. To prepare Rasgulla, chhena is kneaded into a smooth dough and shaped into small, round balls. These chhena balls are then cooked in a sugar syrup flavored with cardamom until they become spongy and absorb the sweetness. The cardamom adds a fragrant and aromatic element to the syrup. Rasgullas are known for their soft and spongy texture, and they are often served chilled. This classic dessert is widely enjoyed across India and is a favorite during festivals and celebrations."
Sandesh,"Milk, sugar, saffron, cardamom",vegetarian,30,20,sweet,dessert,West Bengal,East,"Sandesh is a delightful Bengali sweet made with milk, sugar, saffron, and cardamom. To prepare Sandesh, milk is curdled to obtain chhena (fresh paneer or cottage cheese). The chhena is then kneaded until it reaches a smooth and creamy consistency. Sugar is added to sweeten the chhena mixture, and saffron is often used for color and a hint of flavor. Some recipes also include cardamom for additional aromatic notes. The sweetened chhena mixture is then shaped into small, flattened rounds or other desired forms. Sandesh is a light and flavorful sweet, loved for its delicate texture and the combination of saffron and cardamom that gives it a distinct taste."
Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",vegetarian,10,50,sweet,dessert,West Bengal,East,"Adhirasam is a traditional South Indian sweet made with rice flour, jaggery, ghee, vegetable oil, and elachi (cardamom). To prepare Adhirasam, rice flour is mixed with powdered jaggery, ghee, and cardamom to form a smooth, thick batter. This batter is then shaped into small, flat rounds or patties. These patties are deep-fried in vegetable oil until they turn golden brown, resulting in a crispy outer layer and a soft inner texture. Adhirasam is a popular treat, often made during festivals and special occasions in South India. Its unique combination of ingredients gives it a distinct flavor that is both sweet and aromatic."
Ariselu,"Rice flour, jaggery, ghee",vegetarian,15,75,sweet,dessert,Andhra Pradesh,South,"Ariselu is a traditional South Indian sweet made with a simple combination of rice flour, jaggery, and ghee. To prepare Ariselu, rice flour is mixed with jaggery syrup, which is made by melting jaggery in water and then straining to remove impurities. Ghee is added to the rice flour and jaggery mixture, and the dough is kneaded to achieve a smooth consistency. Small portions of the dough are then shaped into flat, round patties and deep-fried until they turn golden brown. The result is a sweet delicacy with a crispy exterior and a chewy, flavorful interior. Ariselu is often prepared during festivals and special occasions in South India."
Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",vegetarian,5,35,sweet,dessert,Andhra Pradesh,South,"Bandar Laddu is a traditional Andhra sweet that is made with besan (gram flour), jaggery, cardamom powder, ghee, cashews, raisins, jaggery syrup, and sugar. To prepare Bandar Laddu, besan is roasted in ghee until it turns golden brown and aromatic. Jaggery syrup is prepared separately by dissolving jaggery in water, and this syrup is then added to the roasted besan along with cardamom powder. The mixture is stirred well to ensure a smooth consistency. Finally, cashews and raisins are added for crunch and texture. The sweetened besan mixture is shaped into round laddus (sweet balls). Bandar Laddu is known for its rich and nutty flavor, making it a popular treat during festivals and celebrations in Andhra Pradesh, India."
Chikki,"Peanuts, jaggery",vegetarian,10,20,sweet,dessert,Maharashtra,West,"Chikki is a popular Indian sweet snack made with just two main ingredients: peanuts and jaggery. To prepare Chikki, peanuts are roasted until they become crunchy and aromatic. In a separate pan, jaggery is melted to form a syrup. The roasted peanuts are then mixed into the jaggery syrup until well-coated. The mixture is quickly spread on a flat surface and flattened to cool and harden. Once set, the Chikki is broken into pieces, creating sweet and nutty bars or clusters. This classic treat is enjoyed for its combination of the natural sweetness of jaggery and the crunchiness of roasted peanuts, making it a favorite during festivals and as a quick energy snack."
Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",vegetarian,20,60,sweet,dessert,Karnataka,South,"Dharwad Peda is a traditional Indian sweet that hails from the city of Dharwad in Karnataka. It is made with a few simple ingredients, including milk, sugar, and Dharwadi buffalo milk, which is known for its unique flavor and richness. To prepare Dharwad Peda, milk is reduced and thickened to form khoya (reduced milk solids). This khoya is then mixed with sugar to sweeten the mixture. The use of Dharwadi buffalo milk is said to contribute to the distinct taste of Dharwad Peda. The mixture is cooked until it reaches a fudgy consistency, and the pedas are shaped into small, round discs. Dharwad Peda is enjoyed for its rich and creamy texture, making it a beloved sweet in Karnataka cuisine."
Double ka meetha,"Loaf bread, milk",vegetarian,20,30,sweet,dessert,Telangana,South,"Double ka Meetha is a luscious Indian dessert that transforms simple ingredients into a delightful sweet treat. Slices of loaf bread are toasted or fried until golden and crispy. Meanwhile, a sweet and aromatic milk syrup is prepared by simmering milk with sugar and flavored with cardamom. The toasted bread slices are then immersed in this decadent milk mixture, allowing them to absorb the rich flavors. The result is a heavenly fusion of crispy bread and sweetened milk, garnished with chopped nuts for added crunch. Double ka Meetha is a beloved dessert, cherished for its simplicity and indulgent taste, making it a favorite during celebrations and festive occasions in Indian cuisine."
Gavvalu,"Rice flour, sugar, salt, ghee, semolina",vegetarian,10,30,sweet,dessert,Andhra Pradesh,South,"Gavvalu is a traditional South Indian snack that combines the simplicity of ingredients with delightful taste. To make Gavvalu, a dough is prepared by mixing rice flour, sugar, a pinch of salt, ghee (clarified butter), and semolina. The ingredients are combined to form a smooth, pliable dough. Small portions of the dough are then shaped into small, shell-like structures resembling cowrie shells, giving the snack its distinctive appearance. These dough shapes are deep-fried until they turn golden brown, resulting in crispy and crunchy Gavvalu. Often enjoyed during festivals and special occasions, Gavvalu showcases the harmonious blend of sweet and savory notes, making it a beloved treat in South Indian cuisine."
Kakinada khaja,"Wheat flour, sugar",vegetarian,10,30,sweet,dessert,Andhra Pradesh,South,"Kakinada Khaja is a traditional sweet delicacy from the coastal town of Kakinada in Andhra Pradesh, India. The sweet is crafted with a simple yet delightful combination of wheat flour and sugar. To prepare Kakinada Khaja, wheat flour is kneaded into a smooth dough and rolled into thin sheets. These sheets are then layered with sugar and folded, creating multiple layers. The layered dough is then rolled out and cut into small, square-shaped pieces. Finally, these pieces are deep-fried until they attain a golden brown color, resulting in crispy, flaky Khajas with a sweet and melt-in-the-mouth texture. Kakinada Khaja is often enjoyed during festivals and celebrations, showcasing the culinary heritage of Andhra Pradesh."
Mysore pak,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",vegetarian,5,20,sweet,dessert,Karnataka,South,"The key ingredients in this delectable treat include besan flour (gram flour) and semolina, which form the base, lending a distinctive texture. Mung bean flour adds a nutty undertone, while jaggery and sugar contribute sweetness. Ghee, a clarified butter, is generously used, imparting a buttery richness to the dessert. Additionally, coconut and skimmed milk powder enhance the overall creaminess. The preparation involves skillfully combining these ingredients into a smooth, thick batter before it is set and cut into pieces. The result is a mouthwatering Mysore Pak, with its melt-in-the-mouth consistency and a harmonious blend of flavors that celebrate the essence of Indian sweets."
Obbattu holige,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",vegetarian,180,60,sweet,main course,Karnataka,South,"Obbattu Holige, also known simply as Holige, is a traditional South Indian sweet flatbread that boasts a delightful combination of flavors. The main ingredients include Maida flour, a fine wheat flour that forms the dough, and turmeric, which imparts a golden hue to the outer layer. The sweet filling consists of a mixture of grated coconut, cooked chickpeas, jaggery for sweetness, and ghee for richness. The addition of cardamom enhances the overall aromatic profile of the filling. The dough is carefully rolled out, filled with this sweet mixture, and then folded to create thin, delicious flatbreads. Once cooked on a griddle, the Obbattu Holige is ready to be enjoyed, offering a perfect balance of textures and a symphony of flavors that showcase the unique culinary heritage of South India."
Palathalikalu,"Rice flour, milk",vegetarian,10,25,sweet,dessert,Andhra Pradesh,South,"Palathalikalu is a traditional South Indian dish, particularly popular in Andhra Pradesh, that consists of minimal yet essential ingredients. The primary components are rice flour and milk. The rice flour is meticulously prepared into a smooth dough, and small, intricate pasta-like shapes are handcrafted from it. These delicate rice flour dumplings are then cooked in milk, infusing them with a rich and creamy flavor. The simplicity of the ingredients allows the natural taste of rice to shine through while the milk adds a luscious and comforting element. Palathalikalu is often served as a dessert or a special treat during festive occasions, showcasing the artistry of traditional South Indian cuisine."
